ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE
1476559,2005,449,"Teatry od 1945 r. (omówienia, repertuar)","Kwiatek czysty, smutnego serca ucieszenie, czyli misterium życia i śmierci świętej Jadwigi. Prem. 2005",,13354,Teatr Trakt,Sc. i reż. Iwona Przeplaska,,,
1476560,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Alicja 0700. Prem. 2005,,12174,Teatr Usta Usta Republika,Reż. Wojciech Wiński,,,
1476579,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Cesarz. Prem. 2005,,5124,Teatr Wiczy (do 1997: w Brodnicy),Reż. Romuald Wicza-Pokojski,,,
1476599,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Clowni. Prem. 2005,,13374,Teatr Współczesny,Reż. Piotr Witaszczyk,,,
1476619,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Cz@t. Projekt rozmyślnie niedokończony. Prem. 2005,,13376,Teatr Współczesny**,"Reż. Agnieszka Cianciara, Bartosz Jarzymowski",,,
1476639,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Bliżej. Prem. 2005,,881,Teatr Współczesny,Tł. Michał Ronikier. Reż. Norbert Rakowski,,,
1476640,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Kubuś Fatalista i jego pan. Prem. 2005,,881,Teatr Współczesny,Tł. Tadeusz Boy-Żeleński. Adapt. i reż. Rudolf Zioło,,,
1476659,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Łucja i jej dzieci. Prem. 2005,,881,Teatr Współczesny,Reż. Marek Pasieczny,,,
1476660,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Napis. Prem. 2005,,881,Teatr Współczesny,Tł. Barbara Grzegorzewska. Reż. Anna Augustynowicz,,,
1476679,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Samobójca. Prem. 2005,,881,Teatr Współczesny,Tł. Maryla Masłowska. Reż. Anna Augustynowicz,,,
1476699,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Transfer. Prem. 2005,,904,Teatr Współczesny*,Tł. Andrzej Bubień. Reż. Maciej Englert,,,
1476719,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Napis. Prem. 2005,,904,Teatr Współczesny*,Tł. Barbara Grzegorzewska. Reż. Maciej Englert,,,
1476720,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Mimo wszystko. Prem. 2005,,904,Teatr Współczesny*,"Tł. Mira Michałowska, Irena Szymańska. Reż. Waldemar Śmigasiewicz",,,
1476739,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",From Poland with love. Prem. 2005,,46,"Teatr ""Wybrzeże""",Reż. Michał Zadara,,,
1476740,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Pamiętnik z dekady bezdomności. Prem. 2005,,46,"Teatr ""Wybrzeże""",Sc. i reż. Romuald Wicza-Pokojski,,,
1476759,2005,449,"Teatry od 1945 r. (omówienia, repertuar)","Wałęsa. Historia wesoła, a ogromnie przez to smutna. Prem. 2005",,46,"Teatr ""Wybrzeże""",Reż. Michał Zadara,,,
1476779,2005,449,"Teatry od 1945 r. (omówienia, repertuar)","Szeks show presents Yorick, czyli spowiedź błazna. Prem. 2005",,46,"Teatr ""Wybrzeże""",Adapt. Andrzej Żurowski. Reż. Monika Strzępka,,,
1476780,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Demokracja. Prem. 2005,,46,"Teatr ""Wybrzeże""",Tł. Małgorzata Semil. Reż. Krzysztof Babicki,,,
1476799,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Koleżanki. Prem. 2005,,46,"Teatr ""Wybrzeże""",Reż. Grzegorz Chrapkiewicz,,,
1476800,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Fanta$y. Prem. 2005,,46,"Teatr ""Wybrzeże""",Reż. Jan Klata,,,
1476819,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Kronika zapowiedzianej śmierci. Prem. 2005,,46,"Teatr ""Wybrzeże""",Reż. Wojtek Klemm,,sztuka Davida Lindemanna wg powieści Gabriela Garcii Marqueza,
1476839,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Wesele. Prem. 2005,,46,"Teatr ""Wybrzeże""",Reż. Rudolf Zioło,,,
1476859,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Pan Andersen na Pradze. Prem. 2005,,13394,Teatr Wytwórnia,Adapt. Małgorzata Owsiany. Reż. Monika Powalisz,,"spektakl na podstawie trzech baśni Andersena: ""Pasterka i Kominiarczyk"", ""Bałwan ze śniegu"" i ""Brzydkie kaczątko""",
1476879,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Gąska. Prem. 2005,,13394,Teatr Wytwórnia,Reż. Radosław Dobrowolski,,,
1476880,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Komponenty. Prem. 2005,,13394,Teatr Wytwórnia,Reż. Jacek Papis,,,
1476899,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Hamlet. Prem. 2005,,879,Teatr Zagłębia,Tł. Stanisław Barańczak. Reż. Bartłomiej Wyszomirski,,,
1476919,2005,449,"Teatry od 1945 r. (omówienia, repertuar)","Kandyd, czyli optymizm. Prem. 2005",,879,Teatr Zagłębia,Tł. Tadeusz Boy-Żeleński. Adapt. i reż. Henryk Adamek,,,
1476939,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Kopciuszek. Prem. 2005,,879,Teatr Zagłębia,"Tł. Irena Lewandowska, Witold Dąbrowski. Adapt. Czesław Sieńko. Reż. Henryk Konwiński",,,
1476959,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Profesjonalista. Prem. 2005,,879,Teatr Zagłębia,Tł. Dorota Jovanka Cirlic. Reż. Bogdan Ciosek,,,
1476979,2005,449,"Teatry od 1945 r. (omówienia, repertuar)","Tango, tango. Prem. 2005",,879,Teatr Zagłębia,Sc. i reż. Janina Niesobska,,,
1477139,2005,449,"Teatry od 1945 r. (omówienia, repertuar)","AAA pracy szukam, matkę oddam. Prem. 2005",,12194,Teatr Zakład Krawiecki,Reż. Szymon Turkiewicz,,,
1477159,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Banał Story. Prem. 2005,,12194,Teatr Zakład Krawiecki,"Sc. Magdalena Engelmajer, Zuza Motorniuk, Szymon Turkiewicz. Reż. Szymon Turkiewicz",,,
1477179,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Zona. Prem. 2005,,12194,Teatr Zakład Krawiecki,Oprac. tekstu i reż. Rafał Cieluch,,,
1477199,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Roxxy Hot. Prem. 2005,,12194,Teatr Zakład Krawiecki,Reż. Szymon Turkiewicz,,przedstawienie inspirowane twórczością Pedro Almodovara,
1477219,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Śpiewnik wrocławski. Prem. 2005,,12194,Teatr Zakład Krawiecki,Reż. Krzysztof Kopka,,,
1477239,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",BRh+. Prem. 2005,,13414,Teatr Zielony Wiatrak,Reż. Ewa Ignaczak,,,
1477240,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Dna. Prem. 2005,,13414,Teatr Zielony Wiatrak,Reż. Marek Brand,,,
1477259,2005,449,"Teatry od 1945 r. (omówienia, repertuar)","Ja, Gubernator. Prem. 2005",,13414,Teatr Zielony Wiatrak,Reż. Marek Brand,,,
1477260,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Niepowtarzalni. Prem. 2005,,13434,Teatr Zwierciadło,Sc. i reż. Krzysztof Kaczmarek,,,
1477279,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Publiczność to lubi. Prem. 2005,,905,Teatr Żydowski im. Estery Rachel i Idy Kamińskich,"Sc. Szymon Szurmiej, Ryszard Marek Groński. Reż. Szymon Szurmiej",,,
1477299,2005,449,"Teatry od 1945 r. (omówienia, repertuar)","Żyć, nie umierać! Prem. 2005",,905,Teatr Żydowski im. Estery Rachel i Idy Kamińskich,"Sc. Szymon Szurmiej, Ryszard Marek Groński. Reż. Szymon Szurmiej",,,
1477319,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Dwa oblicza. Prem. 2005,,13454,Teatr-3,"Sc. Arkadiusz Buszko. Reż. Piotr Ratajczak, Arkadiusz Buszko",,,
1477339,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Someone Who`ll Watch Over Me. Prem. 2005,,8774,The Globe Theatre Group,Reż. Andrew Bridgmont,,,
1477340,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Zwierzenia pornogwiazdy. Prem. 2005,,2802,Teatr Wierszalin (do 1998: Towarzystwo Wierszalin - Teatr),Reż. Piotr Tomaszuk,,,
1477341,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",O grudniowym grzechu odkupieniu i jabłka rajskiego zjedzeniu. Prem. 2005,,13474,Tradycyjny Teatr Marionetek Szmaciana Babka,Reż. Iwona Przeplaska-Zwierzyńska,,,
1477359,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Schron czyli rondo alla Kafka. Prem. 2005,,7114,"Unia ""Teatr Niemożliwy""","Sc. i reż. Dorota Anna Dąbek, Wojciech Olejnik",,przedstawienie inspirowane opowiadaniami Franza Kafki,
1477379,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",spiewanna@alkestis.pl. Prem. 2005,,5535,"Videoteatr ""Poza"" Jolanty i Piotra Lachmannów",Reż. Piotr Lachmann,,spektakl na motywach sztuk Eurypidesa i Thorntona Wildera,
1477380,2005,449,"Teatry od 1945 r. (omówienia, repertuar)","Piękna i Bestia, czyli baśń jeszcze raz opowiedziana. Prem. 2005",,927,Wrocławski Teatr Lalek,Adapt. i reż. Aleksander Maksymiak,,,
1477381,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Źródło. Prem. 2005,,927,Wrocławski Teatr Lalek,Sc. i reż. Leszek Mądzik,,,
1477399,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Nakręcana pomarańcza. Prem. 2005,,202,Wrocławski Teatr Pantomimy,Tł. Robert Stiller. Adapt. i reż. Jan Klata,,przedstawienie przygotowane we współpracy z Wrocławskim Teatrem Współczesnym im. Edmunda Wiercińskiego,
1477419,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Nie do pary. Prem. 2005,,907,Teatr Współczesny im. E. Wiercińskiego,Tł. Jacek Poniedziałek. Reż. Agnieszka Olsten,,,
1477439,2005,449,"Teatry od 1945 r. (omówienia, repertuar)","Mały Kominiarczyk, czyli zróbmy operę! Prem. 2005",,907,Teatr Współczesny im. E. Wiercińskiego,"Tł., adapt. i reż. Jerzy Bielunas",,,
1477459,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Nakręcana pomarańcza. Prem. 2005,,907,Teatr Współczesny im. E. Wiercińskiego,Tł. Robert Stiller. Adapt. i reż. Jan Klata,,przedstawienie przygotowane we współpracy z Wrocławskim Teatrem Pantomimy,
1477460,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Przytuleni. Prem. 2005,,907,Teatr Współczesny im. E. Wiercińskiego,Tł. Halina Thylwe. Reż. Gabriel Gietzky,,,
1477461,2005,449,"Teatry od 1945 r. (omówienia, repertuar)",Pułkownik Ptak. Prem. 2005,,8614,Wspaniały Teatr Bez Nazwy,Tł. Hanna Karpińska. Reż. Andrzej Fabisiak,,,
1477779,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Pułapka. Prem. 2006,,1641,Akademia Teatralna im. A. Zelwerowicza (d. Państwowa Wyższa Szkoła Teatralna im. A. Zelwerowicza),Reż. Bożena Suchocka-Kozakiewicz,,,
1477799,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Trzy siostry. Prem. 2006,,1641,Akademia Teatralna im. A. Zelwerowicza (d. Państwowa Wyższa Szkoła Teatralna im. A. Zelwerowicza),Tł. Artur Sandauer. Reż. Agnieszka Glińska,,,
1477819,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Tańce w Ballybeg. Prem. 2006,,1641,Akademia Teatralna im. A. Zelwerowicza (d. Państwowa Wyższa Szkoła Teatralna im. A. Zelwerowicza),Tł. Małgorzata Semil. Reż. Iwona Kempa,,,
1477839,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Opowieści Hollywoodu. Prem. 2006,,1641,Akademia Teatralna im. A. Zelwerowicza (d. Państwowa Wyższa Szkoła Teatralna im. A. Zelwerowicza),Tł. Małgorzata Semil. Reż. Maja Komorowska,,,
1477859,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Wyprawa. Prem. 2006,,13494,Asocjacja 2006,Reż. Lech Raczak,,,
1477879,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Homeland. Prem. 2006,,6575,Akademia Teatralna im. A. Zelwerowicza (do 1996: PWST im. A. Z.). Wydział Sztuki Lalkarskiej,"Reż. Wojciech Kobrzyński, Wiesław Czołpiński",,,
1477899,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Bajka na dobrą pogodę. Prem. 2006,,6575,Akademia Teatralna im. A. Zelwerowicza (do 1996: PWST im. A. Z.). Wydział Sztuki Lalkarskiej,Opieka pedagogiczna Krzysztof Rau,,,
1477919,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",W domu Ojca mego jest mieszkań wiele. Prem. 2006,,6575,Akademia Teatralna im. A. Zelwerowicza (do 1996: PWST im. A. Z.). Wydział Sztuki Lalkarskiej,Reż. Marek Ciunel,,,
1477939,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Wiśniowy sad. Prem. 2006,,6575,Akademia Teatralna im. A. Zelwerowicza (do 1996: PWST im. A. Z.). Wydział Sztuki Lalkarskiej,Tł. Czesław Jastrzębiec-Kozłowski. Reż. Oleg Żiugżda,,,
1477959,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Antygona. Prem. 2006,,241,Bałtycki Teatr Dramatyczny im. J. Słowackiego,Tł. Stanisław Hebanowski. Reż. Waldemar Matuszewski,,,
1477979,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Happy End. Prem. 2006,,241,Bałtycki Teatr Dramatyczny im. J. Słowackiego,"Tł. Marjorie Hayes, Krzysztof Kopka. Reż. Jerzy Batycki",,,
1477999,2006,449,"Teatry od 1945 r. (omówienia, repertuar)","Lato Muminków, czyli Narzeczone Lwa. Prem. 2006",,241,Bałtycki Teatr Dramatyczny im. J. Słowackiego,Tł. Irena Szuch-Wyszomirska. Adapt. i reż. Paweł Szumiec,,,
1478019,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",O miłości i innych demonach. Prem. 2006,,241,Bałtycki Teatr Dramatyczny im. J. Słowackiego,Tł. Carlos Marrodán Casas . Adapt. i reż. Giovanny Castellanos,,,
1478039,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",...syn. Prem. 2006,,241,Bałtycki Teatr Dramatyczny im. J. Słowackiego,Reż. Michał Siegoczyński,,,
1478059,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",? Prem. 2006,,241,Bałtycki Teatr Dramatyczny im. J. Słowackiego,Reż. Anna Kutkowska,,,
1478079,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Baldanders. Prem. 2006,,824,Białostocki Teatr Lalek,Sc. Marcin Bartnikowski. Reż. Marcin Bikowski,,,
1478099,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Wiersz o ołowianym żołnierzyku. Prem. 2006,,824,Białostocki Teatr Lalek,Realizacja Jacek Malinowski,,,
1478119,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Głupcy. Prem. 2006,,824,Białostocki Teatr Lalek,Sc. i reż. Marcin Bikowski,,,
1478139,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Komediant. Prem. 2006,,824,Białostocki Teatr Lalek,Tł. Jacek Stanisław Buras. Reż. Marián Pecko,,,
1478159,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Nibylandia. Prem. 2006,,824,Białostocki Teatr Lalek,Adapt. i reż. Jacek Malinowski,,"na motywach opowieści J.M. Barrie ""Piotruś i Wendy""",
1478179,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Szopka u Mikołaja. Prem. 2006,,824,Białostocki Teatr Lalek,,,,
1478199,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Świetliki. Prem. 2006,,824,Białostocki Teatr Lalek,Tł. Dorota Dobrev. Adapt. Hermina Mohylová. Reż. Robert Drobniuch,,,
1478219,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Zielony Wędrowiec. Prem. 2006,,824,Białostocki Teatr Lalek,Reż. Krzysztof Rau,,,
1478239,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Ziemia jałowa. Prem. 2006,,12654,Biały Teatr,Reż. Janina Tomaszewska,,,
1478259,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Bomba. Prem. 2006,,12694,Centrum Artystyczne M25 [Mińska 25],Reż. Maciej Kowalewski,,,
1478279,2006,449,"Teatry od 1945 r. (omówienia, repertuar)",Czekając na Godota. Prem. 2006,,6614,"Centrum Kultury ""Teatr""",Reż. Stanisław Świder,,,
